,Department,Title,Text,Vernehmlassung Day,Vernehmlassung Month,Vernehmlassung Year,Behoerde,SR Links,SR Numbers
10,EJPD,Bundesgesetz über Statut und Aufgaben des Schweizerischen Instituts für geistiges Eigentum,,31,8,1993,Bundesrat,,
11,EJPD,Revision des Bundesgesetzes über Schuldbetreibung und Konkurs (SchKG),Bericht der Expertengruppe für die Prüfung der Anpassungsbedürftigkeit der Revisionsvorlage SchKG an das Lugano-Übereinkommen vom 16.9.1988 über die gerichtliche Zuständigkeit und Vollstreckung gerichtlicher Entscheidungen in Zivil- und Handelssachen,30,9,1993,Bundesrat,,
12,EJPD,Revision Strafgesetzbuch sowie Bundesgesetz über die Jugendstrafrechtspflege,Vorentwürfe der Expertenkommission und Bericht zur Revision des Allgemeinen Teils und des Dritten Buches des Strafgesetzbuchs und zu einem Bundesgesetz über die Jugendstrafrechtspflege,18,2,1994,Bundesrat,,
13,EJPD,Revision des Bundesgesetzes über die Raumplanung,"Vereinfachung, Beschleunigung und Koordination der Bewilligungsverfahren",15,12,1993,Bundesrat,,
14,EJPD,"Teilrevision des Strassenverkehrsgesetzes, des Versicherungsaufsichtsgesetzes und des Bundesgesetzes über den Versicherungsvertrag","Erfüllung der Motion 93.3195 Haftpflichtversicherung für Motorfahrzeuge. Revision der Tarifkontrolle, und des Postulats 93.3128 Strassenverkehrsgesetz. Revision der Bestimmungen über die Motorfahrzeughaftpflicht",30,11,1993,Bundesrat,,
15,EJPD,Bundesgesetz über Zwangsmassnahmen im Ausländerrecht,,19,11,1993,Bundesrat,,
16,EJPD,Verordnung über das eidgenössische Patent für Ingenieur-Geometerinnen und -Geometer,"- Verordnung über das eidgenössische Patent für Ingenieur-Geometerinnen und -Geometer
- Verordnung über die theoretischen Prüfungsfächer udn den Prüfungsstoff der Patentprüfung für Ingenieur-Geometerinnen und -Geometer",31,12,1993,Bundesrat,,
17,EJPD,Revision Lex Friedrich,Revision des Bundesgesetzes über den Erwerb von Grundstücken durch Personen im Ausland,17,1,1994,Bundesrat,,
18,EFD,Revision des Alkoholgesetzes,,31,1,1994,Bundesrat,,
19,EVED,Änderung des Atomgesetzes und Änderung des Bundesbeschlusses zum Atomgesetz,,31,5,1993,Bundesrat,,
20,EVED,Änderung des Postverkehrsgesetzes,,31,12,1993,Bundesrat,,
21,EVED,Wasssernutzungsgesetz,Bundesgesetz über die Bewirtschaftung und Nutzung der Gewässer,28,2,1994,Bundesrat,,
22,EVD,Teilrevision der Verordnung über die Begrenzung der Zahl der Ausländer,,14,8,1993,Bundesrat,,
23,EVD,Bundesbeschluss zur Stärkung der regionalen Wirtschaftsstrukturen und der Standortattraktivität,,16,8,1993,Bundesrat,,
24,EVD,Teilrevision des Arbeitsgesetzes,,24,9,1993,Bundesrat,,
25,EVD,Änderung des Bundesgesetzes gegen den unlauteren Wettbewerb,Aufhebung der Bewilligungspflicht für Sonderverkäufe,8,10,1993,Bundesrat,,
26,EVD,Teilrevision des Arbeitslosenversicherungsgesetzes,,15,9,1993,Bundesrat,,
27,EVD,Bundesgesetz über den Zivildienst,,15,10,1993,Bundesrat,,
28,EVD,Totalrevision des Kartellgesetzes,,28,2,1994,Bundesrat,,
29,EVD,Exportkontrollgesetz,Bundesgesetz über die Kontrolle von Gütern mit ziviler und militärischer Verwendungsmöglichkeit,15,3,1994,Bundesrat,,
30,EMD,Kriegsmaterialgesetz,"Totalrevision des Bundesgesetzes über das Kriegsmaterial (Kriegsmaterialgesetz, KMG)",28,2,1994,Bundesrat,,
0,EDA,Rahmenübereinkommen des Europarates für den Schutz nationaler Minderheiten,,13,1,1995,Bundesrat,,
1,EDA,Projekt MERCURE,Vereinbarung (MOU) zwischen Mitgliedstaaten der Europäischen Weltraumorganisation und der Europäischen Weltraumorganisation zur Durchführung des Projektes MERCURE.,23,1,1995,Bundesrat,,
2,EDI,Änderung der Verordnung über die Umweltverträglichkeitsprüfung/Ratifizierung des UNO/ECE-Übereinkommens über die Umweltverträglichkeitsprüfung im grenzüberschreitenden Rahmen,,15,4,1994,Bundesrat,,
3,EDI,Revision des Lebensmittelrechts,(Revision verschiedener Ausführungsverordnungen),31,3,1994,Bundesrat,,
4,EDI,Änderung von zwei Verordnungen zum Krankenversicherungsgesetz,"Änderung der Verordnung VIII des Bundesrats über die Krankenversicherung betreffend die Auswahl von Arzneimitteln und Analysen.
Änderung der Verordnung 10 des EDI über die Krankenversicherung betreffend die Aufnahme von Arzneimitteln in die Spezialitätenliste.",31,5,1994,Bundesrat,,
5,EDI,Bundesgesetz über eine CO2-Abgabe,,30,9,1994,Bundesrat,,
6,EDI,Stoffverordnung,Änderung der Verordnung über umweltgefährdende Stoffe,31,5,1994,Bundesrat,,
7,EDI,Bundesgesetz über die Mutterschaftsversicherung,,30,9,1994,Bundesrat,,
8,EDI,Verordnungen zum neuen Krankenversicherungsgesetz,"- Verordnung über die Inkraftsetzung und Einführung des Bundesgesetzes vom 18. März 1994 über die Krankenversicherung,
- Verordnung über die Beiträge des Bundes zur Prämienverbilligung in der Krankenversicherung,
- Verordnung über den Risikoausgleich in der Krankenversicherung",13,1,1995,Bundesrat,,
9,EDI,Bundesgesetz über Finanzhilfen für die Erhaltung und Förderung der rätoromanischen und italienischen Sprache und Kultur,,31,1,1995,Bundesrat,,
10,EJPD,Parlamentarische Initiative. Änderung der Wählbarkeitsvoraussetzungen für den Bundesrat,(Aufhebung der Kantonsklausel),21,3,1994,Bundesrat,,
11,EJPD,Totalrevision des Aylgesetzes und Änderung des Bundesgesetzes über Aufenthalt und Niederlassung der Ausländer,,7,9,1994,Bundesrat,,
12,EJPD,Änderung des Bundesgesetzes über die Raumplanung in den Bereichen Landwirtschaft und Landschaft,,15,11,1994,Bundesrat,,
13,EJPD,"Markenschutz, Landwirtschaft und Rebbau","Änderung des Bundesgesetzes über den Schutz von Marken und Herkunftsangaben, des Landwirtschaftsgesetzes sowie des Bundesbeschlusses über den Rebbau.",22,9,1994,Bundesrat,,
14,EFD,Bundesgesetz zur Bekämpfung der Geldwäscherei im Finanzsektor (Geldwäschereigesetz),,30,4,1994,Bundesrat,,
15,EFD,Mineralölsteuergesetz,,15,7,1994,Bundesrat,,
16,EFD,Verordnung über die Anlagefonds,,4,7,1994,Bundesrat,,
17,EVED,Energiegesetz,,30,9,1994,Bundesrat,,
18,EVED,Politisches Leitbild für die Schweizerischen Bundesbahnen,,30,11,1994,Bundesrat,,
19,EVED,Verordnung über die Schwerverkehrsabgabe / Verordnung über die Abgabe für die Benützung von Nationalstrassen,,15,8,1994,Bundesrat,,
20,EVD,Verordnung über den Bundesfeiertag,,4,3,1994,Bundesrat,,
21,EVD,Änderung des Bundesbeschlusses über die Schweizerische Verkehrszentrale,,31,3,1994,Bundesrat,,
22,EVD,Binnenmarktgesetz,Bundesgesetz über den Binnenmarkt,29,4,1994,Bundesrat,,
23,EVD,Vier Verordnungsentwürfe,Ausführungsbestimmungen aus dem Bereich Fleischhygiene zum Lebensmittelgesetz vom 9. Oktober 1992.,18,5,1994,Bundesrat,,
24,EVD,Abkommen der Uruguay-Runde/GATT-WTO,"Abkommen der Uruguay-Runde / GATT-WTO und damit verbundene notwendige Gesetzesänderungen (Änderungen im Zollrecht, Landwirtschaftsrecht inkl. Alkoholgesetzgebung, in den Bereichen wirtschaftliche Landesversorgung, geistiges Eigentum, öffentliches Beschaffungswesen und Bankengesetz)",22,8,1994,Bundesrat,,
25,EVD,Bundesgesetz über die technischen Handelshemmnisse,,22,8,1994,Bundesrat,,
26,EVD,"Landwirtschaftsgesetz, Pflanzenschutzübereinkommen, Natur- und Heimatschutz",Änderung des Landwirtschaftsgesetzes und Bundesbeschluss betreffend das Internationale Pflanzenschutzübereinkommen; Änderung des Bundesgesetzes über den Natur- und Heimatschutz.,13,1,1995,Bundesrat,,
27,EMD,Pulverregal und Sprengstoffgesetz,Bundesbeschluss über die Aufhebung des Pulverregals und Änderung des Sprengstoffgesetzes.,30,11,1994,Bundesrat,,
0,EDI,Verordnung über die Krankenversicherung,Dokumente:,18,4,1995,Bundesrat,,
1,EDI,Bundesgesetz über die Erwerbsersatzordnung für Dienstleistende in Armee und Zivilschutz,"Die Vorlage berücksichtigt Erziehungsarbeit, führt weitere gewichtige Verbesserungen ein und modernisiert die Erwerbsersatzordnung.",15,9,1995,Bundesrat,,
2,EDI,Bundesgesetz über die Familienzulagen,"Im Auftrag der Kommission für soziale Sicherheit und Gesundheit des Nationalrates (SGK -N) führt der Bundesrat ein Vernehmlassungsverfahren zu einem Gesetzesentwurf über die Familienzulagen durch. Der Entwurf basiert auf dem Grundsatz ""Ein Kind - eine Zulage"", wobei der Anspruch auf eine derartige Zulage unabhängig vom Beruf und der Erwerbstätigkeit der Eltern für alle gleich ist. Vorgeschlagen wird ferner ein gesamtschweizerischer Lastenausgleich und die Anpassung an die Teuerung. Sowohl im bezug auf die Höhe der Zulagen wie auch auf die Finanzierungsart werden Varianten zur Diskussion gestellt. ( Abgeschlossen).",31,10,1995,Bundesrat,,
3,EDI,Recht auf Existenzsicherung; Aenderung der Bundesverfassung,Vernehmlassung im Auftrag einer Parlamentarischen Kommission. (Abgeschlossen).,31,10,1995,Bundesrat,,
4,EDI,"Bundesgesetz über die Ergänzungsleistungen zur AHV und IV (ELG), 3. Revision",Bei dieser kleineren Revision geht es nebst diversen anderen Punkten insbesonders um Erleichterungen für Rentenberechtigte mit eigenem Haushalt.,30,11,1995,Bundesrat,,
5,EDI,Bundesgesetz über die Archivierung,"Der Archivierung soll eine stabile Rechtsgrundlage gegeben werden, die den aktuellen Anforderungen - insbesondere im Bereich Datenschutz - genügt und eine Harmonisierung mit archivrechtlichen Bestimmungen anderer Staaten ermöglicht.",15,12,1995,Bundesrat,,
6,EDI,Bundesgesetz über den Schutz vor gefährlichen Stoffen und Zubereitungen (Chemikaliengesetz),"Ziel der Gesetzesrevision ist, das schweizerische Recht unter Wahrung des heute erreichten Schutzniveaus auf eine moderne Grundlage zu stellen, die insbesondere auch unserer Situation als bedeutendem Standort der chemischen Industrie gerecht wird. Eine Anpassung an die in Europa geltenden Vorschriften steht dabei im Vordergrund, was eine Abkehr von den heutigen fünf Giftklassen des Giftgesetzes bedingt.",9,4,1996,Bundesrat,,
7,EJPD,Bundesgesetz über die Spielbanken,,30,4,1995,Bundesrat,,
8,EJPD,"Bundesgesetz über Waffen, Waffenzubehör und Munition",,31,5,1995,Bundesrat,,
9,EJPD,Bundesbeschluss über die Zusammenarbeit mit den internationalen Gerichten zur Verfolgung von schwerwiegenden Verletzungen des humanitären Völkerrechts,,30,6,1995,Bundesrat,,
10,EJPD,Bundesgesetz über die medizinisch unterstützte Fortpflanzung und eine nationale Ethikkommission (Humanmedizingesetz),,31,10,1995,Bundesrat,,
11,EJPD,Totalrevision der Bundesverfassung,Dokumente:,29,2,1996,Bundesrat,,
12,EJPD,Bundesgesetz über die verdeckte Ermittlung,,30,12,1995,Bundesrat,,
13,EFD,Verzinsung von Verrechnungssteuerguthaben (Varianten von Gesetzesentwürfen),Es stehen zwei Varianten von Gesetzesentwürfen zur Diskussion: Bei der Variante Beschleunigung werden die Verrechnungssteuerguthaben nicht verzinst. Hingegen wird das Rückerstattungsverfahren beschleunigt und überschaubarer gemacht. Die Variante Verzinsung sieht zusätzlich zur Beschleunigung des Verfahrens eine Verzinsung des Rückerstattungsguthabens vor. Vernehmlassung im Auftrag einer Parlamentarischen Kommission. Abgeschlossen.,15,6,1995,Bundesrat,,
14,EFD,Bundesbeschluss über die Anordnung einer allgemeinen Steueramnestie,,30,6,1995,Bundesrat,,
15,EFD,Verordnung über das öffentliche Beschaffungswesen,,18,9,1995,Bundesrat,,
16,EFD,Finanzierung des öffentlichen Verkehrs,"Der Bundesrat sieht vor, die drei Finanzierungsanliegen (Treibstoffzollabgabe von 10 Rappen, Beizug der leistungsabhängigen Schwerverkehrsabgabe, Bahnabgabe) in einer neuen Verfassungsbestimmung (neuer Art. 23 der Übergangsbestimmungen zur Bundesverfassung) zusammenzufassen.",15,11,1995,Bundesrat,,
17,EFD,Verordnung über die Börsen und den Effektenhandel,,22,12,1995,Bundesrat,,
18,EFD,Verordnung über die Gebühren der Eidgenössischen Bankenkommission,,22,12,1995,Bundesrat,,
19,EFD,Verordnung der Eidgenössischen Bankenkommission über die Börsen und den Effektenhandel,,22,12,1995,Bundesrat,,
20,EFD,Verordnung der Eidgenössischen Bankenkommission über die ausländischen Banken in der Schweiz,,22,12,1995,Bundesrat,,
21,EFD,Institutionelle Massnahmen zur Defizit- u. Verschuldungsbegrenzung (Schuldenbremse),Ziel der Revision von Art. 42bis der Bundesverfassung und des Finanzhaushaltsgesetzes ist der Abbau des Fehlbetrages der Bilanz und damit der Bundesverschuldung.,29,2,1996,Bundesrat,,
22,EVED,"Bundesgesetz über die Haftpflicht für Stauanlagen (Stauanlagen-Haftpflichtgesetz, SHG)","Der Vorentwurf lehnt sich an das Kernenergiehaftpflichtgesetz an. Vorgeschlagen wird eine strenge Haftung des Inhabers einer Stauanlage für Schäden, die durch austretende Wassermassen verursacht werden. Der Inhaber haftet auch dann, wenn der Schaden durch ausserordentliche Naturvorgänge (z.B. Erdbeben), kriegerische Ereignisse oder Sabotage verursacht wurde.",31,12,1995,Bundesrat,,
23,EVED,Revision des Eisenbahngesetzes (Neuregelung des Bahnpolizeirechts),"Das bereits über 100 Jahre alte Bundesgesetz über die Handhabung der Bahnpolizei soll durch eine zeitgemässe Gesetzgebung abgelöst werden. Auch unter der neuen Rechtsgrundlage liegt die Verantwortung für die Sicherheit der Fahrgäste und den störungsfreien Betrieb der Bahnen nach wie vor bei den Transportunternehmen. Sie können aber zur Bewältigung dieser Aufgaben geeignetes Bahnpersonal ausbilden und einsetzen, bzw. besondere Sicherheitsdienste beiziehen. Die darnit verbundenen Kosten gelten als Betriebskosten, die in die Fahrpreise mit einbezogen werden dürfen.",15,8,1995,Bundesrat,,
24,EVED,Bundesgesetz über eine leistungsabhängige Schwerverkehrsabgabe,"Die Abgabe verfolgt drei Hauptziele: Sie setzt das Verursacherprinzip im Strassenschwerverkehr um: Wer mehr fährt, soll auch mehr bezahlen.Sie berücksichtigt die externen Kosten und Nutzen des Schwerverkehrs und führt so das Prinzip der vollen Kostendeckung in diesem Bereich ein.Sie baut Wettbewerbsverzerrungen zwischen Strasse und Schiene ab und leistet somit einen Beitrag zur Kostenwahrheit im Verkehr.",31,10,1995,Bundesrat,,
25,EVED,PTT-Organisationsgesetz,Die rechtliche und organisatorische Neuausrichtung der PTT-Betriebe sieht die Schaffung zweier selbständiger Unternehmungen Post und Telecom AG vor. Auf die Schaffung einer PTT-Holding wird verzichtet. Der Entwurf enthält auch ein eigenes öffentlichrechtliches PTT-Personalstatut.,31,1,1996,Bundesrat,,
26,EVED,Postgesetz,"Der Entwurf gibt grosse Teile des Postmarktes für den Wettbewerb frei, spart jedoch einen Monopolbereich aus, der die Finanzierung eines landesweit einheitlichen Service public gewährleisten soll.",31,12,1995,Bundesrat,,
27,EVED,Fernmeldegesetz (FMG),"Die Revision soll dazu beitragen, die internationale Wettbewerbsfähigkeit und die Attraktivität des Wirtschaftsstandortes Schweiz zu steigern, längerfristig die flächendeckende Grundversorgung sicherzustellen und den Anschluss an die im Aufbau befindlichen globalen Informationsnetze zu ermöglichen.",15,12,1995,Bundesrat,,
28,EVD,Aenderung des Bundesgesetzes über die Exportrisikogarantie (Anerkennung ausgewählter privater Banken in den Importländern als Garanten),,15,3,1995,Bundesrat,,
29,EVD,Aenderung der Verordnung über die Begrenzung der Zahl der Ausländer,"Der vorliegende Entwurf bringt zwei wesentliche Änderungen: einerseits die Einführung eines neuen Kurzaufenthalterstatuts für kurzfristige Tätigkeiten und als Ersatz für das Saisonnierstatut, und andererseits eine Verschärfung der Zulassungsbestimmungen für Tänzerinnen in Nachtlokalen. Daneben sollen die neuen Höchstzahlen für das nächste Kontingentsjahr vom 1. Oktober 1995 bis 30. November 1996 festgelegt werden.",14,8,1995,Bundesrat,,
30,EVD,"Neuorientierung der Regionalpolitik: Revision des Bundesgesetzes über Investitionshilfen für Berggebiete, Massnahmen zur Flankierung des Strukturwandels im ländlichen Raum",,30,9,1995,Bundesrat,,
31,EVD,Verordnung über die Miete und Pacht von Wohn- und Geschäftsräumen (VMWG),Mit den vorgeschlagenen Aenderungen soll die Handhabung des Mietrechtes in der täglichen Praxis erleichtert sowie hinsichtlich der Modalitäten von Mietzinsanpassungen eine grössere Flexibilität erreicht werden.,30,11,1995,Bundesrat,,
32,EVD,Tierschutzverordnung,"Mit der Revision sollen bestehende Lücken in der Verordnung geschlossen, dringliche Verbesserungen einbezogen und für den Vollzug praktikable, möglichst präzise Regelungen erlassen werden.",30,11,1995,Bundesrat,,
33,EVD,Zweite Etappe der Agrarreform (Agrarpolitik 2002),"Im Zentrum dieser zweiten Etappe der Agrarreform steht die marktwirtschaftliche Erneuerung des gesamten Ernährungssektors. Mit ""Agrarpolitik 2002"" wird darüber hinaus der Weg aufgezeigt, wie das Konzept der Nachhaltigkeit in der Landwirtschaft konsequent weiter umgesetzt werden soll.",15,2,1996,Bundesrat,,
0,EDA,Zusatzprotokoll zum Europ. Rahmenübereinkommen von 1980 über die grenzüberschreitende Zusammenarbeit zwischen Gebietskörperschaften oder Behörden,"Das Protokoll zielt darauf ab, die grenzüberschreitende Zusammenarbeit zu stärken und zu fördern und zwar unter Einhaltung des Landesrechts jeder beteiligten Vertragspartei.",31,8,1996,Bundesrat,,
1,EDA,In der Schweiz deponierte Guthaben von Holocaust-Opfern,Vernehmlassungsverfahren im Auftrag der Kommission für Rechtsfragen des Nationalrates im Rahmen der Aufklärung des Schicksals von Vermögenswerten der Holocaust-Opfer in der Schweiz.,1,8,1996,Bundesrat,,
2,EDI,Unidroit-Konvention über gestohlene oder rechtswidrig ausgeführte Kulturgüter,"Bei der Unidroit-Konvention handelt es sich um einen Staatsvertrag, der die Bedingungen für die Rückgabe bzw. Rückführung von gestohlenen bzw. rechtswidrig ausgeführten Kulturgütern sowie den Mechanismus des Verfahrens festlegt. Er ist direkt anwendbar und bedarf keiner innerstaatlichen Durchführung in gesetzgeberischer Hinsicht.",30,4,1996,Bundesrat,,
3,EDI,Bundesgesetz über den Schutz der Gewässer,Mit der vorgesehenen Aenderung sollen die gesetzlichen Grundlagen für eine nachhaltige Finanzierung der Abwasser- und Abfallanlagen geschaffen werden. Anstelle von Bundessubventionen soll das Verursacher-prinzip mit kostendeckenden Gebühren treten.,15,6,1996,Bundesrat,,
4,EDI,Bundesgesetz über die eidgenössische Volkszählung und Bundesstatistikgesetz,"Der Bundesrat stellt den Informationsauftrag der Volkszählung in einem Bericht vor. Er legt für die Volkszählung als 'Strukturerhebung Schweiz' die Ziele, den Nutzen, die Inhalte und die Notwendigkeit dar. Der Bericht erörtert die Funktionen der Volkszählung für die öffentliche Hand, für Wirtschaft, Wissenschaft und Statistik. Er beurteilt die bisher erhobenen Merkmale und ihre Verwendung aus der Perspektive von Aufwand und Nutzen. Darauf aufbauend werden inhaltliche und methodische Grundprinzipien für die Volkszählung 2000 formuliert und der Datenkatalog abgeleitet.",8,11,1996,Bundesrat,,
5,EDI,Verfassungsbestimmung über die Transplantationsmedizin,"Der vorgeschlagene neue Artikel 24decies der Bundesverfassung beauftragt den Bund mit dem Erlass von Vorschriften über den Umgang mit Organen, Geweben und Zellen. Dabei soll der Bund für den Schutz der Menschenwürde, der Persönlichkeit und der Gesundheit sorgen.",30,11,1996,Bundesrat,,
6,EDI,Bundesgesetz zur Reduktion der CO2-Emissionen,Der Bundesrat will im Bundesgesetz zur Reduktion der CO2-Emissionen ein verbindliches CO2-Reduktionsziel festlegen: 10% weniger CO2 bis zum Jahr 2010 gegenüber 1990.,20,12,1996,Bundesrat,,
7,EDI,4. IVG-Revision - Bericht zu den Grundzügen und Hauptpunkten der Revision,"Ein erster Teil der Revision mit Massnahmen zur Kostensenkung sowie einer Beitragssatzerhöhung soll 1999 in Kraft treten; ein zweiter Teil mit weiteren Massnahmen, auch einem beschränkten Leistungsausbau, im Jahre 2002. Die 4. IV-Revision wird zeitlich mit der 6. EO-Revision und der Mutterschaftsversicherungs-Vorlage verknüpft und in einem finanziellen Zusammenhang mit diesen Vorlagen behandelt.",20,2,1997,Bundesrat,,
8,EJPD,Massnahmen zur Verbesserung der Effizienz und der Rechtsstaatlichkeit in der Strafverfolgung,"Die Vorlage besteht aus mehreren Teilen, die alle zur Verbesserung der Strafverfolgung beitragen sollen. Nebst weiteren Elementen sollen vor allem in Fällen von organisiertem Verbrechen, Geldwäscherei und Wirtschaftskriminalität die Ermittlungen auf Bundesebene zentral geführt werden.",31,8,1996,Bundesrat,,
9,EFD,Neuer Finanzausgleich,"Das vorliegende Modell eines neuen Finanzausgleichs soll die ineffiziente, unübersichtliche und kostenintensive Verflechtung von Aufgaben, Kompetenzen und Finanzströmen zwischen Bund und Kantonen entwirren. Bund und Kantone erhalten stufengerechte Aufgaben, die Kantone werden finanziell gestärkt und ihr Handlungsspielraum wird beträchtlich erweitert.",30,6,1996,Bundesrat,,
10,EFD,Reglement der Uebernahmekommission,,28,6,1996,Bundesrat,,
11,EFD,Verordnung der Uebernahmekommission über öffentliche Kaufangebote,,28,6,1996,Bundesrat,,
12,EFD,Verordnung der Eidg. Bankenkommission über die Börsen und den Effektenhandel (Kap. 3 u. 4),,28,6,1996,Bundesrat,,
13,EFD,Reform der Unternehmensbesteuerung,"Der Bundesrat will den Wirtschaftsstandort Schweiz stärken. Die zwei alternativen Vorlagen sehen Erleichterungen für Holdings sowie für kleine und mittlere Unternehmungen vor. Zur Diskussion stehen u. a. die proportionale Gewinnsteuer, die Verlustverrechung im Konzern und eine höhere Freigrenze bei Emissionsabgaben.",30,9,1996,Bundesrat,,
14,EFD,Sanierungsplan 2001,"Um für die Sanierung des Bundeshaushaltes den notwendigen Druck zu erzeugen, soll in den Uebergangsbestimmungen zur Bundesverfassung, gewissermassen präventiv, der Haushaltsausgleich verankert werden. Der Finanzhaushalt soll bis ins Jahr 2001 ins Lot gebracht werden.",15,12,1996,Bundesrat,,
15,EVED,Strassenverkehrsgesetz (SVG),"Ziel dieses Massnahmenpakets ist, die Sicherheit im Strassenverkehr zu erhöhen. Zudem besteht die Absicht, Fahrzeugimport und -handel weiter zu liberalisieren.",30,8,1996,Bundesrat,,
